Date,Country,Local,Industry,Accident_level,Pot_acc_level,Gender,Emp_type,Critical_risk,Description,Day,Month,Year,Weekday
2016-01-28,country_01,local_03,mining,1,3,male,employee,others,"while installing a segment of the polyurethane pulley protective lyner - 60x4x5cm weighing 1.2 kg - on the head pulley of the ore winch, when the pulley is rotated to compress the lyner inside the channel, it falls from its housing 1.50 m rubbing the right side of the worker's hip, generating the injury described.",28,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3CA48>
2016-01-30,country_01,local_03,mining,1,4,male,third party,others,"while preparing the rice for the lunch of the day, when moving the pot # 60 - 35 kg of weight including the contents - to evacuate the residual water of the cooking of the rice, when positioning the pot on a jaba it tilts backwards spilling some 200 ml of hot water on the cook's leg. the cook immediately after the event applies first aid, pouring cold water on the area of ​​the injury and go to the medical post for evaluation.",30,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3C9C8>
2016-02-01,country_02,local_05,metals,1,1,male,employee,liquid metal,the collaborator reports that he was working in the ustulación and realized that the cyclone duct was obstructed and opened the door to try to unclog the same and the material detached and projected towards the employee causing small burn in the right heel.,1,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3C948>
2016-02-02,country_01,local_01,mining,4,5,male,third party,electrical installation,"in moments that the operator of the jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of nv 3300, remove the lock and opening the electric board of 440v and 400a, and when lifting the thermomagnetic key this makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",2,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3C8C8>
2016-02-04,country_02,local_05,metals,1,3,male,employee,confined space,"due to the accumulation of waelz on the conveyor and trailer of the filter 08fi0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder.",4,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3C848>
2016-02-04,country_02,local_05,metals,1,4,male,employee,liquid metal,"the employee was working in the when a thermal shock caused a splash of zinc in his direction, the employee, despite using all the indicated ppe, was hit by small spatters that passed between the facila and the hood. small burn in the face region.",4,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3C7C8>
2016-02-06,country_01,local_04,mining,3,4,male,third party,others,"at rp 050 of level 1620, in circumstances where the workers of the company were performing the task of diamond drilling, the assistants jhonatan (injured) and nilton were preparing to increase the hq perforation pipe located on the scaffolding, mr. jhonatan lifts one end of the tube and supports it on the pulley of the equipment frame, the other end being on the working scaffolding, at the moment that mr. nilton lifts the end of the hq pipe that is in the scaffolding to position in the frame, the upper part of the pipe comes out of the pulley falling and striking the right hand of the worker jhonatan against bolts that has the lateral part of the same frame causing the injury described.",6,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3C748>
2016-02-07,country_01,local_06,metals,1,2,female,third party,others,"due to the overheating of 2 bars in row 5 of cell 7 a spark is produced, which is projected and manages to reach the chief of guard who was in the corridor, producing a first degree burn in the neck.",7,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3C6C8>
2016-02-08,country_01,local_06,metals,1,2,male,employee,others,"an auxiliary wheel of the cathode crane g2133 was changed in area 75, when when a bearing was heated and hit with a hammer and chisel at one end of the bearing track, a detachment of a bearing piece occurred, impacting it in the thigh of the right leg producing a cut. the ambulance is called and you are transferred to the clinic.",8,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D048>
2016-02-21,country_01,local_06,metals,1,3,male,employee,others,"the worker manuel was making the disconnection of the power cables of the gate that is at the intersection of manco streets with cajamarquilla in order to remove it. in circumstances that mr. josé worker of the company its, was removing the rope tied in the body of the gate, this yields and falls pulling the warning post which hits the helmet of mr. who he was standing at his side.",21,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D0C8>
2016-02-25,country_01,local_06,metals,1,2,male,third party,others,"at 14:16, the operator samuel was about to open the container for its subsequent loading with silver concentrate, and opened the first gate. afterwards, he tries to open the second door and it is when product of the opening of the latter, the first one opens and impacts with the handle the safety lens and generates the injury in the left cheekbone of the face of the operator.",25,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D148>
2016-02-09,country_01,local_03,mining,1,4,male,third party,others,"in the raise chamber, when the operator and assistant removed the drilling bar from the 71r drilling machine - weight approx. 500 kg - holding it at the top with a 2 tm stroke and assisted with jibs to move horizontally, the operator's jib on the bottom slides by moving the top of the drill bar causing the assistant's bar to enforce his assistant's hand between the bar and the piston of the equipment.",9,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D1C8>
2016-02-10,country_01,local_03,mining,2,4,male,third party,others,"while aligning the right bracket of tower n ° 32, when releasing the tension applied by the tirford of 1.5 tn, when pushing the lever towards the tension release point, it returns by mechanical effect overcoming the resistance of the lineman operator and reshaping the the hands of the assistant beating the assistant in the frontal region.",10,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D248>
2016-02-15,country_02,local_02,mining,2,2,male,third party (remote),others,"by loosening the a30-29 truck's steering cylinder bolt using power cable and socket, with the force exerted in favor of the equipment, the bolt suddenly retired and the employee hit his hand against the structure of the equipment, causing injury.",15,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D2C8>
2016-02-14,country_01,local_06,metals,1,2,male,third party,others,"an operator of the g-2142 deslaminadora in section 75 was unlocking a sheet of zinc stuck so that it can enter the slide of the stacking table, for this requires the support of mr. mollares and this helps to hold the sheet to place it in the entry chute to the slide. at the moment of releasing the blade, it tilted and brushed mr. mollares's left leg. the collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",14,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D348>
2016-02-15,country_01,local_06,metals,1,2,male,employee,manual tools,"the operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. at the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. the worker is transferred to the medical unit for first aid.",15,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D3C8>
2016-02-13,country_01,local_01,mining,1,1,male,employee,others,"at the end of lunch in an enabled place on the side of the winche control room. he gets up and after a short walk he slips and sits with the floor and making contact with the left knee and not taking importance in the rest of the guard, when the guard is finished, he goes to safety and communicates the fact, for which reason it is derived natclar, for your attention.",13,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D448>
2016-02-15,country_01,local_03,mining,1,3,male,third party,others,"at the end of the rock break at the intersection of the ramp -1055 and the opening of the access to the ventilation chimney, the master loader identifies rocks on the mesh proceeding to unload them, at the end he decides to verify if there are still remains by positioning himself under the line of fire, at which time a fragment of rock falls - 5x4x3cm .; 180 gr - between the cocada mesh impacting between the lens and the helmet causing the injury.",15,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D4C8>
2016-02-16,country_01,local_01,mining,1,4,male,employee,others,"the worker carried out his work at level 2940, stop 896; and placed metal mesh on the basket (soil half) of the scissor the mesh falls and hits the back of his right hand.",16,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D548>
2016-02-16,country_02,local_07,mining,2,3,male,employee,others,when using the griff wrench to unscrew the rod from the probe the key came to move by pressing the employee's finger against the probe.,16,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D5C8>
2016-02-17,country_01,local_03,mining,1,2,male,employee,others,"when the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill no. 4 and no. 5, his right knee slips due to the presence of debris spilled on the platform or floor (grating) - which gave him an extra effort in his left leg, generating a muscle contracture.",17,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D648>
2016-02-19,country_01,local_03,mining,1,2,male,employee,others,"at level -1095 - access 6 a2 - at times when the engineer trainee planamieto entered to verify the amount of split set placed by the scissor 184 in the support - holding his notebook and pen in his left hand - while inspecting the roof of the work, he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury. the worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes.",19,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D6C8>
2016-02-21,country_01,local_01,mining,3,4,male,third party,others,"the worker yaranga while working with barretilla in stop 996, level 3300. while unloading metal mesh, on the basket of an ampoloader with his operator juan barretilla is embedded on safety boot, reacting immediately the worker removing the limb with force and managing to release the foot, but producing a wound on the right foot.",21,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D748>
2016-02-20,country_01,local_04,mining,5,5,male,third party,others,"approximately 1:40 p.m. in circumstances that shotcrete was launched in the nv. 1680 bp 255 of the ob2b, after finishing the launch of the first mixkret 113, the assistant of the alpha, mr. albertico asks the operator of the mixkret 113, mr. jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the launcher team, mr. danon asks him to come down. when the team started, he noticed that mr. danon (injured) was imprisoned between the team (height of the left rear rim) and the hastial de la labor.",20,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D7C8>
2016-02-15,country_02,local_05,metals,1,2,male,employee,others,the employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,15,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D848>
2016-02-18,country_02,local_05,metals,1,3,male,third party (remote),pressed,"when replacing the telescopic expansion joint of the hdpe pipe of the storm drainage pumping system, it reports that the piece involuntarily moved when it was positioned in the holder, pressing its finger against the holder, causing a wound 1 right chemo.",18,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D8C8>
2016-02-22,country_01,local_01,mining,1,4,male,third party,others,"during the withdrawal the kelly bar (conductive bar of 45 kg, 1.5 m of length and 10 cm of diameter) of the equipment of perforation on the part of two workers, one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar, when positioning the bar on the platform they lose control of the bar moving 5 cm with the 2nd finger of the right hand against the pulleys of the frame. at the time of the accident, the worker was wearing safety gloves and the drill rig was blocked.",22,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D948>
2016-02-24,country_02,local_07,mining,1,5,male,employee,others,when starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. due to the movement of the coil the bees were excited. realizing the fact the operator turned off the equipment and left the area. people passing by were stung.,24,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7D9C8>
2016-02-24,country_02,local_07,mining,1,5,female,third party,others,when starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. due to the movement of the coil the bees were excited. realizing the fact the operator turned off the equipment and left the area. people passing by were stung.,24,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7DA48>
2016-02-24,country_01,local_01,mining,1,4,male,employee,others,"during the pre-use inspection of the jumbo 15 (check list) equipment, the operator of the equipment finds behind the seat a plastic bottle filled with a liquid apparently mineral water, without any label or labeling. take the bottle and take a small sip of the liquid, expelling it immediately when noticing that it was not water, immediately proceeds to wash with enough water and is transferred to the medical center for your attention. the liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity.",24,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7DAC8>
2016-02-29,country_02,local_02,mining,2,4,male,employee,others,"during maintenance of the flyght pump rotor, the oil pressure of the the lubrication chamber caused the chamber cover to be projected towards the employee's face, striking him superficially on the forehead, causing injury.",29,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7DB48>
2016-02-26,country_01,local_06,metals,1,4,male,third party (remote),pressurized systems / chemical substances,"approx. at 11:22 am there is a leakage of sulfur dioxide (so2) from section 20/30 due to water seal blowing due to overpressure of the acid plant, at that moment there were 13 collaborators of cormei companies, eissa and cosapi doing work near the impacted area; who were evacuated to the medical center for their care, then returned to their usual work.",26,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7DBC8>
2016-02-27,country_01,local_01,mining,1,3,male,third party,others,"while performing the cutting of the meshes protruding in the gables of the work, the assistant loader is positioned at 1.40mt. on the floor using a portable ladder which was held at the base by the master loader, at which time the loader assistant loses balance and when falling is held by the mesh with the hand hanging at 0.80mt. of the floor causing the injury.",27,2,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7DC48>
2016-03-02,country_02,local_08,metals,1,3,male,employee,pressed,"the operator was in the center (demag iv), performing maintenance. when transporting the hydraulic cylinder with the help of another operator the official was unbalanced coming the cylinder that carried to press his finger (left thumb) against the pillar of support of the oven specified below (figure).",2,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7DCC8>
2016-03-02,country_01,local_06,metals,1,3,male,employee,blocking and isolation of energies,"during the start of the neutral leaching process, the employee jhonatan proceeds to open the air valve of the tank airlift a circumstance in which the process solution returns through the chimney, the solution coming into contact with the arm and right foot.",2,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7DD48>
2016-03-03,country_01,local_03,mining,1,3,male,third party,others,"at a time when two assistants were carrying a bag of cement weighing 42.5 kg to the lamp of the loader - suspended about 10 cm from the floor, the left foot of one of the assistants slid and hit the edge of the baton.",3,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7DDC8>
2016-03-04,country_01,local_06,metals,1,3,male,employee,manual tools,"the operator cleaned with spatula spear through one of the windows of the boiler, at that time by force action hit the window frame, causing injury to the little finger of the left hand, the operator had all epp for boiler cleaning.",4,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7DE48>
2016-03-05,country_01,local_03,mining,1,4,male,employee,others,"the locomotive no. 15 operated by maperu personnel, was directed with 10 wagons loaded with ore from the op4 to the waste bin. next to the waste bin, the patrol car (which goes on the back of the wagons) the moment it passed over a change of track, the left rear wheel of the patrol car leaves the rail advancing the locomotive leaving the patrol car tilted more ahead. the assistant motorist who traveled alone in the patrol car remained inside the structure and suffered minor bruises.",5,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7DEC8>
2016-03-06,country_01,local_04,mining,1,3,male,employee,others,"on pit 831 of level 1910 when radial drilling was performed of negative holes with the simba m4c ith no. 5 equipment, when the assistant of the equipment operator made the change of the drill bit, the metal bar (hammer) is released from the coupling of the rotation unit and when abruptly withdrawing his hands hit the back of his right hand against the team's structure. at the time of the accident the team was paid.",6,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A7DF48>
2016-03-06,country_01,local_03,mining,3,4,male,third party (remote),others,"at a time when a worker and another partner were preparing to move an oil cylinder (55 gallons) on a mobile platform mounted on rails (platform weighing approximately 200 kg) it is derailed (leaves the rail). in order to place the platform on the rail, both workers lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held (metallic tube protruding from the platform). this accident caused a bruised wound on the index finger of the right hand, there was no fracture. at the time of the accident they both wore leather-type safety gloves.",6,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A871C8>
2016-03-09,country_01,local_06,metals,1,4,male,third party,suspended loads,"the operator was feeding a bag of big bag containing scraps of zn sheets. during lifting, this loaded bag is released from the hook of the hoist, making abrupt contact with the liquid zinc of the furnace, generating an explosion and causing the operator to be hit with liquid zinc.",9,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87148>
2016-03-11,country_01,local_03,mining,3,5,male,third party,others,"in circumstances that two workers of the company incimmet made the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. the equipment anfoloader has a cabin with protection rops and fops, at the time of the accident both workers used helmets and safety boots. both suffered polyontusions and minor scoria injuries.",11,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A870C8>
2016-03-11,country_01,local_03,mining,1,5,male,third party,others,"in circumstances that two workers of the company incimmet fectuaban the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. the equipment anfoloader has a cabin with protection rops and fops, at the time of the accident both workers used helmets and safety boots. both suffered polyontusions and minor scoria injuries.",11,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87048>
2016-03-13,country_01,local_03,mining,1,4,male,third party (remote),others,"the mechanic assistant after throwing the wooden blocks of support of the stabilizer of the hiab crane truck to the ground, when descending from the truck by the access ladder when arriving at the last step jumps towards the ground - height of 69cm - treading the edge of one of the wooden blocks cause an injury to the left ankle.",13,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87248>
2016-03-12,country_02,local_07,mining,3,4,male,employee,others,"by manually moving a steel cabinet for disposal with the help of another employee, the operator had his finger pressed down between the wall and the cabinet causing injury.",12,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A872C8>
2016-03-14,country_01,local_06,metals,2,3,male,third party (remote),chemical substances,"during the discharge of waste, the operator proceeds to remove a bag that was under the hose rolled, in this circumstance one of the ends of the hose moves in the direction of the face of the driver, projecting the liquid contained in it and impacting it on the ear and part of the face.",14,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87348>
2016-03-13,country_01,local_03,mining,1,3,male,employee,others,"in circumstances that the operator 176 was going from level 620 to level 640, he noticed that the hydraulic pump's inspection cover (18 ""x32"" x3 / 8 "", 15 kg approx.) was about to fall, so he stopped the equipment, activates the cats and climbs up the upper part of the equipment and in moments that accommodated the cover it slides on its middle finger causing the injury.",13,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A873C8>
2016-03-16,country_01,local_04,mining,1,2,male,third party,others,"when installing the ripper pin of the tractor d6t-n1, the ripper support arm slides by pressing the second and third fingers of the right hand against the base of the ripper causing the injury described.",16,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87448>
2016-03-10,country_02,local_05,metals,1,2,male,employee,pressed,"the employee reports that when he lowered the cloths in the purification, he arranged the cart so that it would not grab the pipe, pressing his left hand between the cloths and the cart.",10,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A874C8>
2016-03-17,country_01,local_01,mining,1,2,male,third party,others,"at the end of the loading of explosives on the work front, the master loader enters to verify the mooring of the blasting accessories, when retiring from the top (1.5 m), he hears the sound of fragments of rock rolling through the support mesh, directs its gaze towards the crown in a vertical form, at which point a small fragment of rock (2x3x2cm; 36gr) passes through the openings of the mesh. sustaining impact on the forehead. at the time of the event the collaborator used his helmet and safety lens and the front was with support to the top and sacrifice mesh. the opening of the support mesh is 3 ""x 3"".",17,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87548>
2016-03-16,country_02,local_08,metals,2,2,male,employee,manual tools,"the employee, when performing the adjustment / tightening operation of the cutter blade with which he worked, was neglected, the key to slip, causing the blade of the equipment to hit him, causing a blunt cut on his right forearm.",16,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A875C8>
2016-03-18,country_01,local_04,mining,4,4,male,third party,others,"approximately at 11:50 a.m. in circumstances that the messrs. of the truck crane) and william de la cruz culminated the shipment of 03 blocks of metal plates with an approximate weight of 1800 kg. mr. william de the cross (rigger) climbs onto the truck to remove the sling, places both feet under the stretcher that supported the metal plates. at that moment the central part of the stretcher is broken, as a result of which the two feet are imprisoned producing the injury.",18,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87648>
2016-03-19,country_01,local_01,mining,1,3,male,employee,others,"during the placement of the last support mesh cloth of the work, in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket, when pressing on the mesh, one of the protruding ends of the mesh, crosses the leather glove causing an injury in his right hand.",19,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A876C8>
2016-03-14,country_02,local_05,metals,1,4,male,employee,chemical substances,the employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.,14,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87748>
2016-03-18,country_02,local_05,metals,1,4,male,employee,fall prevention (same level),"the employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.",18,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A877C8>
2016-03-18,country_02,local_05,metals,1,4,male,employee,chemical substances,"the employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",18,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87848>
2016-03-22,country_01,local_03,mining,1,2,male,employee,others,"when carrying out the activity of cutting electrowelded mesh on the work front, the assistant positions his feet on one end of the mesh leaving the other end free, at the moment that the assistant bends down to make the cut with the shear, the end free of the mesh returns by inertia hitting the partner above his safety lens.",22,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A878C8>
2016-03-22,country_01,local_01,mining,4,4,male,third party,others,"during the refurbishment work of the hdpe pipes (4 ""of diameter) with two workers, when the worker who secured the pipe with a chain, standing on the basket of the ampoloader - raised to a height of 3.0 m from the ground -, the pipe slipped and impacted his arm right, causing an injury to the radius of the right arm.",22,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87948>
2016-03-25,country_01,local_01,mining,1,4,male,third party,others,"in circumstances that a dump truck laden with ore entered to unload backwards in a curve in the upper part of via la laquia, the operator did not notice the unevenness in the road (approximately one meter) approaching the edge and overturning the truck on its right side. the operator traveled alone in the truck and made use of the safety belt, helmet and glasses at the time of the accident. during the unloading process, there were two squares that were 25 m from the accident site. the test of alcohotest to the operator was negative.",25,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A879C8>
2016-03-30,country_01,local_04,mining,2,4,male,third party,others,"being approximately 5:45 pm. on the level. 1710 cx 018 bp 745, in circumstances that the workers of the company rock performed the anchorage of the central pin for the anchoring of the drilling machine diamantina xrd -30 (bob cat) the assistant cristian (injured) made the adjustment of the nut of the central bolt with the stilson key no. 18 simultaneously jose from the control panel made the movement of the rotation unit for the positioning of the clamp pin, at that moment the frame is slid by pressing the thumb of the assistant's left hand against the stilson key, causing the described injury, due to the lack of securing the frame fixing bolts.",30,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87A48>
2016-03-30,country_01,local_03,mining,1,3,male,employee,others,"after having carried out the mechanized support with the scissor # 200, the heavy equipment operator picks up the water supply hose towards the drum of the equipment and, while he was heading towards the cabin of the scissor on the way on a piece of rock - 10 cm high approx. - which displaces by sliding his right foot causing the injury described.",30,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87AC8>
2016-03-31,country_01,local_06,metals,1,3,male,employee,others,being approximately 14:25 h when supervising the line clamping of the pom d071 roy canario returning to the thickener d1304 hits his nose with the metal chute out of operation.,31,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87B48>
2016-03-31,country_02,local_08,metals,1,3,male,third party (remote),pressed,"the employee, performing the truck's unloading operation, an iron bundle pressed his right finger and injured his left arm.",31,3,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87BC8>
2016-04-01,country_01,local_03,mining,1,3,male,third party,others,"after loading two blown holes from the previous blasting with the use of a telescopic ladder, the master loader pulls the ladder detaching from the upper support point, about 3 mt. of height, a fragment of rock - 3cm x 3cm x 2 cm; 54 gr - which is projected by the right end of the ladder hitting the master loader on the cheekbone and upper lip producing the lesion described. the master shipper used his safety glasses.",1,4,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A87C48>
